Energy (MeV/n),H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni
0.01,4.8479e-05,1.88445e-05,3.3151e-08,1.43449e-08,1.22006e-07,4.95076e-07,8.89208e-08,4.5609e-07,5.45725e-09,6.81231e-08,1.18978e-08,1.05606e-07,1.30217e-08,7.65393e-08,1.16814e-09,8.43451e-09,1.07158e-09,3.19806e-09,2.17906e-09,1.0445e-08,1.43296e-09,6.82326e-09,3.07458e-09,6.4822e-09,4.93828e-09,5.64756e-08,3.19963e-10,2.36093e-09
0.0140812,7.39178e-05,2.83778e-05,4.97695e-08,2.15445e-08,1.81908e-07,7.43632e-07,1.34278e-07,6.86808e-07,8.20893e-09,1.02349e-07,1.79325e-08,1.58557e-07,1.9592e-08,1.1501e-07,1.75617e-09,1.27416e-08,1.61908e-09,4.66658e-09,3.28486e-09,1.57095e-08,2.16513e-09,1.02709e-08,4.63562e-09,9.75808e-09,7.40444e-09,8.50261e-08,4.82231e-10,3.56791e-09
0.0198281,0.000112705,4.27339e-05,7.47189e-08,3.23575e-08,2.71219e-07,1.11697e-06,2.02771e-07,1.03424e-06,1.23481e-08,1.5377e-07,2.70279e-08,2.38055e-07,2.94774e-08,1.72817e-07,2.64019e-09,1.92482e-08,2.44633e-09,6.80944e-09,4.95183e-09,2.36274e-08,3.2714e-09,1.54604e-08,6.98925e-09,1.46894e-08,1.11022e-08,1.2801e-07,7.26791e-10,5.39194e-09
0.0278098,0.000171008,6.40481e-05,1.11648e-07,4.83689e-08,4.02513e-07,1.66987e-06,3.04742e-07,1.55005e-06,1.84866e-08,2.29938e-07,4.05433e-08,3.55735e-07,4.41413e-08,2.58457e-07,3.95051e-09,2.89388e-08,3.67862e-09,9.89286e-09,7.42933e-09,3.53685e-08,4.91932e-09,2.31622e-08,1.04879e-08,2.20084e-08,1.65686e-08,1.91812e-07,1.09019e-09,8.10959e-09
0.0387547,0.000257423,9.52577e-05,1.65562e-07,7.17531e-08,5.92901e-07,2.47743e-06,4.54461e-07,2.30531e-06,2.74654e-08,3.41217e-07,6.03504e-08,5.27547e-07,6.55947e-08,3.8359e-07,5.86605e-09,4.31723e-08,5.48892e-09,1.42709e-08,1.10608e-08,5.25396e-08,7.34025e-09,3.4435e-08,1.56169e-08,3.27216e-08,2.45392e-08,2.85214e-07,1.62272e-09,1.21027e-08
0.0533245,0.000381479,0.000139537,2.4183e-07,1.04846e-07,8.60474e-07,3.6204e-06,6.67437e-07,3.37683e-06,4.01907e-08,4.98749e-07,8.84751e-08,7.70614e-07,9.60065e-08,5.60759e-07,8.57944e-09,6.34268e-08,8.06546e-09,2.02993e-08,1.6218e-08,7.68725e-08,1.07859e-08,5.04222e-08,2.29021e-08,4.7916e-08,3.58013e-08,4.17698e-07,2.37886e-09,1.77871e-08
0.072012,0.000552436,0.000199875,3.45474e-07,1.49833e-07,1.22183e-06,5.17432e-06,9.58384e-07,4.83694e-06,5.75139e-08,7.12967e-07,1.2683e-07,1.10095e-06,1.37415e-07,8.01712e-07,1.22714e-08,9.11059e-08,1.15871e-08,2.8284e-08,2.32523e-08,1.09993e-07,1.54954e-08,7.21995e-08,3.28404e-08,6.86146e-08,5.10881e-08,5.98194e-07,3.41002e-09,2.55579e-08
0.0950421,0.000777693,0.000278551,4.80272e-07,2.08362e-07,1.68909e-06,7.19619e-06,1.33865e-06,6.74079e-06,8.00812e-08,9.91749e-07,1.76879e-07,1.53059e-06,1.91369e-07,1.11532e-06,1.70787e-08,1.27294e-07,1.61919e-08,3.84234e-08,3.24327e-08,1.53135e-07,2.16536e-08,1.00586e-07,4.58126e-08,9.55962e-08,7.09489e-08,8.33502e-07,4.75551e-09,3.57206e-08
0.122257,0.0010597,0.000376094,6.46985e-07,2.8077e-07,2.26396e-06,9.69794e-06,1.81111e-06,9.10114e-06,1.08035e-07,1.33676e-06,2.38972e-07,2.06204e-06,2.58215e-07,1.50349e-06,2.30305e-08,1.72269e-07,2.19156e-08,5.06999e-08,4.38232e-08,2.06572e-07,2.93083e-08,1.35767e-07,6.19104e-08,1.29038e-07,9.54898e-08,1.12519e-06,6.42477e-09,4.83555e-08
0.153549,0.00139835,0.000492164,8.44873e-07,3.66741e-07,2.94329e-06,1.26695e-05,2.37438e-06,1.19097e-05,1.41264e-07,1.74661e-06,3.12901e-07,2.6931e-06,3.37701e-07,1.96468e-06,3.01022e-08,2.25902e-07,2.87409e-08,6.50219e-08,5.73841e-08,2.70102e-07,3.84376e-08,1.77615e-07,8.10808e-08,1.68819e-07,1.24603e-07,1.47224e-06,8.41242e-09,6.34298e-08
0.188764,0.00179358,0.000626554,1.07347e-06,4.66075e-07,3.7251e-06,1.61046e-05,3.02761e-06,1.51615e-05,1.79702e-07,2.22046e-06,3.98542e-07,3.42246e-06,4.29673e-07,2.49798e-06,3.82781e-08,2.88117e-07,3.66572e-08,8.13266e-08,7.30909e-08,3.43604e-07,4.90284e-08,2.26051e-07,1.03291e-07,2.14864e-07,1.58221e-07,1.87406e-06,1.07153e-08,8.09244e-08
0.227671,0.00224393,0.000778628,1.33159e-06,5.78259e-07,4.60512e-06,1.99863e-05,3.76781e-06,1.8841e-05,2.23157e-07,2.75596e-06,4.95493e-07,4.24651e-06,5.33686e-07,3.10077e-06,4.75166e-08,3.58627e-07,4.56275e-08,9.95105e-08,9.08677e-08,4.26724e-07,6.10321e-08,2.8084e-07,1.28438e-07,2.66951e-07,1.96174e-07,2.32875e-06,1.33226e-08,1.00762e-07
0.271437,0.0027642,0.000953258,1.62738e-06,7.06837e-07,5.61093e-06,2.44383e-05,4.61878e-06,2.30661e-05,2.73011e-07,3.37017e-06,6.06863e-07,5.19149e-06,6.53058e-07,3.79229e-06,5.81104e-08,4.39703e-07,5.59393e-08,1.20126e-07,1.11282e-07,5.22119e-07,7.48349e-08,3.43733e-07,1.57325e-07,3.26744e-07,2.39666e-07,2.8509e-06,1.63184e-08,1.23585e-07
0.319916,0.0033542,0.00115023,1.96036e-06,8.516e-07,6.74064e-06,2.94545e-05,5.5796e-06,2.78317e-05,3.29192e-07,4.06225e-06,7.32523e-07,6.25612e-06,7.87633e-07,4.57163e-06,7.00427e-08,5.31259e-07,6.75802e-08,1.43115e-07,1.34307e-07,6.29667e-07,9.04218e-08,4.14648e-07,1.89921e-07,3.94167e-07,2.88632e-07,3.43992e-06,1.96995e-08,1.49373e-07
0.373716,0.00402276,0.00137239,2.33517e-06,1.01457e-06,8.00984e-06,3.51063e-05,6.66416e-06,3.32062e-05,3.92495e-07,4.84204e-06,8.74282e-07,7.45556e-06,9.39332e-07,5.44993e-06,8.34808e-08,6.34617e-07,8.07169e-08,1.68775e-07,1.60271e-07,7.5091e-07,1.08018e-07,4.946e-07,2.26692e-07,4.70184e-07,3.43764e-07,4.1043e-06,2.35147e-08,1.78504e-07
0.433654,0.00478172,0.00162354,2.75806e-06,1.19846e-06,9.43952e-06,4.14897e-05,7.8911e-06,3.92818e-05,4.63989e-07,5.7228e-06,1.03457e-06,8.81021e-06,1.11074e-06,6.44217e-06,9.86498e-08,7.51558e-07,9.55732e-08,1.97507e-07,1.89614e-07,8.87919e-07,1.27926e-07,5.84951e-07,2.6827e-07,5.5609e-07,4.05994e-07,4.85548e-06,2.78302e-08,2.11485e-07
0.500671,0.00564499,0.00190815,3.23635e-06,1.40645e-06,1.10542e-05,4.87176e-05,9.28234e-06,4.61664e-05,5.44926e-07,6.72004e-06,1.21625e-06,1.0344e-05,1.30488e-06,7.56591e-06,1.15813e-07,8.84169e-07,1.12412e-07,2.29775e-07,2.22853e-07,1.04313e-06,1.50501e-07,6.87298e-07,3.15392e-07,6.53407e-07,4.76413e-07,5.70689e-06,3.27232e-08,2.48912e-07
0.575455,0.00662366,0.00222974,3.7757e-06,1.64102e-06,1.28729e-05,5.68781e-05,1.08551e-05,5.39452e-05,6.36284e-07,7.84595e-06,1.42157e-06,1.20757e-05,1.52413e-06,8.83498e-06,1.35174e-07,1.0341e-06,1.31438e-07,2.65927e-07,2.60391e-07,1.21845e-06,1.76022e-07,8.02898e-07,3.6864e-07,7.63328e-07,5.55874e-07,6.66914e-06,3.82551e-08,2.91262e-07
0.659489,0.00773967,0.00259539,4.38765e-06,1.90718e-06,1.49344e-05,6.61496e-05,1.26441e-05,6.27892e-05,7.40041e-07,9.12511e-06,1.65504e-06,1.40433e-05,1.77329e-06,1.02772e-05,1.5715e-07,1.20465e-06,1.53066e-07,3.06697e-07,3.03045e-07,1.41773e-06,2.05051e-07,9.34276e-07,4.29183e-07,8.88257e-07,6.46104e-07,7.76349e-06,4.45485e-08,3.39476e-07
0.753842,0.00901014,0.00301058,5.081e-06,2.20874e-06,1.72681e-05,7.66697e-05,1.46761e-05,7.28307e-05,8.57714e-07,1.05765e-05,1.92017e-06,1.62758e-05,2.05605e-06,1.19141e-05,1.82057e-07,1.39837e-06,1.77615e-07,3.52621e-07,3.51441e-07,1.64395e-06,2.38021e-07,1.08338e-06,4.97925e-07,1.03005e-06,7.4843e-07,9.00646e-06,5.16988e-08,3.94294e-07
0.859868,0.0104565,0.0034822,5.86676e-06,2.55052e-06,1.99112e-05,8.86112e-05,1.69847e-05,8.4236e-05,9.91209e-07,1.22238e-05,2.22135e-06,1.88102e-05,2.37704e-06,1.37726e-05,2.10292e-07,1.61848e-06,2.05484e-07,4.04381e-07,4.06365e-07,1.90084e-06,2.75477e-07,1.25267e-06,5.76e-07,1.19104e-06,8.64522e-07,1.04188e-05,5.9826e-08,4.56643e-07
0.979108,0.0121035,0.0040182,6.75758e-06,2.938e-06,2.29061e-05,0.000102173,1.96087e-05,9.71969e-05,1.14271e-06,1.40946e-05,2.56365e-06,2.16888e-05,2.74163e-06,1.58839e-05,2.42313e-07,1.86867e-06,2.37131e-07,4.62749e-07,4.68721e-07,2.19274e-06,3.18045e-07,1.44496e-06,6.64715e-07,1.37391e-06,9.96301e-07,1.20245e-05,6.90686e-08,5.27593e-07
1.11196,0.0139604,0.00462148,7.75767e-06,3.37302e-06,2.62672e-05,0.000117428,2.25623e-05,0.000111784,1.31299e-06,1.61986e-05,2.94892e-06,2.49269e-05,3.15172e-06,1.82595e-05,2.7827e-07,2.15029e-06,2.72716e-07,5.2794e-07,5.38824e-07,2.52121e-06,3.65954e-07,1.66126e-06,7.64543e-07,1.57962e-06,1.14445e-06,1.38326e-05,7.94789e-08,6.07554e-07
1.26218,0.0160841,0.00531055,8.89681e-06,3.86852e-06,3.00947e-05,0.00013484,2.59358e-05,0.000128443,1.50716e-06,1.86e-05,3.38897e-06,2.86235e-05,3.6198e-06,2.0972e-05,3.19238e-07,2.47194e-06,3.13312e-07,6.01824e-07,6.18789e-07,2.89631e-06,4.20663e-07,1.90816e-06,8.78531e-07,1.81444e-06,1.31347e-06,1.58987e-05,9.13783e-08,6.99004e-07
1.43026,0.0184865,0.00608923,1.01803e-05,4.4268e-06,3.44068e-05,0.000154503,2.97475e-05,0.000147266,1.7262e-06,2.13115e-05,3.88621e-06,3.27987e-05,4.14836e-06,2.40363e-05,3.65409e-07,2.83537e-06,3.59123e-07,6.84664e-07,7.09018e-07,3.32011e-06,4.82465e-07,2.18697e-06,1.00729e-06,2.07963e-06,1.50423e-06,1.82347e-05,1.04836e-07,8.02487e-07
1.61938,0.021219,0.00697416,1.16343e-05,5.05924e-06,3.92921e-05,0.000176835,3.40784e-05,0.000168656,1.97466e-06,2.43906e-05,4.45127e-06,3.75412e-05,4.74857e-06,2.75176e-05,4.17727e-07,3.24831e-06,4.11098e-07,7.7806e-07,8.11391e-07,3.80165e-06,5.52669e-07,2.50359e-06,1.15357e-06,2.3808e-06,1.72077e-06,2.08909e-05,1.20143e-07,9.20256e-07
1.8319,0.0243219,0.00797852,1.32789e-05,5.77458e-06,4.48186e-05,0.000202162,3.89924e-05,0.000192928,2.25609e-06,2.78822e-05,5.09251e-06,4.29211e-05,5.42921e-06,3.14676e-05,4.76919e-07,3.71684e-06,4.69978e-07,8.83201e-07,9.27365e-07,4.34807e-06,6.32302e-07,2.86265e-06,1.31949e-06,2.72234e-06,1.96622e-06,2.39075e-05,1.37532e-07,1.05411e-06
2.07031,0.0278395,0.00911676,1.5136e-05,6.5823e-06,5.10606e-05,0.000230846,4.45595e-05,0.000220432,2.57433e-06,3.18357e-05,5.81915e-06,4.90152e-05,6.19989e-06,3.5943e-05,5.43773e-07,4.24762e-06,5.36564e-07,1.00137e-06,1.05853e-06,4.96724e-06,7.22488e-07,3.26921e-06,1.50743e-06,3.1091e-06,2.24404e-06,2.73285e-05,1.57258e-07,1.20604e-06
2.33788,0.0318281,0.0104073,1.72334e-05,7.49449e-06,5.81129e-05,0.000263344,5.08688e-05,0.000251613,2.9343e-06,3.63143e-05,6.64293e-06,5.59214e-05,7.07286e-06,4.1016e-05,6.19296e-07,4.84914e-06,6.11884e-07,1.13421e-06,1.20693e-06,5.66915e-06,8.24662e-07,3.72976e-06,1.72038e-06,3.54724e-06,2.55861e-06,3.12103e-05,1.79649e-07,1.37859e-06
2.63869,0.0363587,0.0118735,1.96061e-05,8.52638e-06,6.60944e-05,0.000300235,5.8033e-05,0.000287029,3.34221e-06,4.13971e-05,7.57862e-06,6.37632e-05,8.06357e-06,4.67775e-05,7.04753e-07,5.53213e-06,6.97226e-07,1.28381e-06,1.3751e-06,6.46642e-06,9.4063e-07,4.25242e-06,1.96214e-06,4.0445e-06,2.91547e-06,3.56238e-05,2.05115e-07,1.57494e-06
2.97633,0.0414971,0.013537,2.22861e-05,9.69178e-06,7.51137e-05,0.000342056,6.61566e-05,0.000327204,3.80374e-06,4.71579e-05,8.64003e-06,7.26555e-05,9.18634e-06,5.33124e-05,8.01297e-07,6.30655e-06,7.93775e-07,1.45202e-06,1.56541e-06,7.37082e-06,1.07207e-06,4.84476e-06,2.23622e-06,4.60809e-06,3.31974e-06,4.06357e-05,2.34043e-07,1.79813e-06
3.35454,0.0473136,0.015421,2.53066e-05,1.10052e-05,8.52846e-05,0.000389377,7.53512e-05,0.000372695,4.3249e-06,5.36749e-05,9.84189e-06,8.27205e-05,1.04564e-05,6.07113e-05,9.10139e-07,7.18301e-06,9.02781e-07,1.64078e-06,1.78033e-06,8.3949e-06,1.22077e-06,5.51483e-06,2.54637e-06,5.24569e-06,3.77685e-06,4.63172e-05,2.6685e-07,2.0514e-06
3.779,0.0539113,0.0175594,2.87175e-05,1.24883e-05,9.6776e-05,0.000443038,8.57807e-05,0.000424318,4.91459e-06,6.10631e-05,1.12058e-05,9.41374e-05,1.18962e-05,6.91064e-05,1.03308e-06,8.17711e-06,1.02609e-06,1.85303e-06,2.02354e-06,9.55704e-06,1.38934e-06,6.27443e-06,2.89809e-06,5.96853e-06,4.29479e-06,5.27724e-05,3.04141e-07,2.33948e-06
4.255,0.0613909,0.0199855,3.25662e-05,1.41616e-05,0.000109749,0.000503854,9.7605e-05,0.000482874,5.58138e-06,6.94343e-05,1.27528e-05,0.000107081,1.35274e-05,7.86271e-05,1.17184e-06,9.30409e-06,1.16549e-06,2.09154e-06,2.29858e-06,1.08752e-05,1.58036e-06,7.13505e-06,3.29676e-06,6.78759e-06,4.88127e-06,6.01038e-05,3.46513e-07,2.66707e-06
4.78864,0.0698703,0.0227379,3.69077e-05,1.60489e-05,0.000124387,0.000572771,0.000111011,0.000549291,6.3352e-06,7.89181e-05,1.45076e-05,0.000121753,1.53753e-05,8.94235e-05,1.3284e-06,1.05817e-05,1.32305e-06,2.35953e-06,2.60957e-06,1.23702e-05,1.79679e-06,8.11007e-06,3.74862e-06,7.71559e-06,5.54525e-06,6.84305e-05,3.94662e-07,3.03965e-06
5.38682,0.0794846,0.025861,4.18042e-05,1.81774e-05,0.000140901,0.000650869,0.000126212,0.000624633,7.18738e-06,8.96625e-05,1.64983e-05,0.000138385,1.74689e-05,0.000101667,1.50504e-06,1.20303e-05,1.50113e-06,2.66067e-06,2.9612e-06,1.40661e-05,2.04205e-06,9.21475e-06,4.26083e-06,8.7671e-06,6.29691e-06,7.78893e-05,4.49389e-07,3.46355e-06
6.05715,0.090387,0.0294045,4.73253e-05,2.05771e-05,0.00015952,0.000739351,0.000143449,0.000710095,8.15058e-06,0.000101833,1.87566e-05,0.000157234,1.98406e-05,0.000115549,1.70427e-06,1.36728e-05,1.70238e-06,2.99909e-06,3.35874e-06,1.59893e-05,2.31999e-06,1.04662e-05,4.84143e-06,9.95843e-06,7.14755e-06,8.86335e-05,5.11593e-07,3.94593e-06
6.80811,0.102751,0.0334241,5.35482e-05,2.32817e-05,0.000180498,0.00083956,0.000162993,0.000807013,9.23892e-06,0.000115613,2.1318e-05,0.000178586,2.25263e-05,0.000131282,1.92891e-06,1.55351e-05,1.92977e-06,3.37937e-06,3.80805e-06,1.817e-05,2.63491e-06,1.18835e-05,5.49943e-06,1.13078e-05,8.10974e-06,0.000100835,5.82284e-07,4.49486e-06
7.64951,0.11678,0.037984,6.05625e-05,2.63301e-05,0.000204123,0.00095304,0.000185159,0.000916935,1.04688e-05,0.000131214,2.42237e-05,0.00020277,2.5568e-05,0.000149113,2.18223e-06,1.76471e-05,2.18675e-06,3.80691e-06,4.31599e-06,2.06423e-05,2.99186e-06,1.34889e-05,6.24532e-06,1.28364e-05,9.19787e-06,0.000114691,6.62634e-07,5.11979e-06
8.592,0.132702,0.0431545,6.84655e-05,2.97646e-05,0.000230702,0.00108145,0.000210292,0.00104154,1.18579e-05,0.000148867,2.75186e-05,0.00023014,2.90111e-05,0.000169305,2.46776e-06,2.0042e-05,2.47711e-06,4.28762e-06,4.89002e-06,2.34436e-05,3.39637e-06,1.53064e-05,7.09051e-06,1.45671e-05,1.04274e-05,0.000130419,7.53914e-07,5.83107e-06
9.64756,0.150777,0.0490134,7.73663e-05,3.36327e-05,0.000260571,0.00122664,0.000238784,0.00118271,1.34263e-05,0.000168823,3.12529e-05,0.000261082,3.29059e-05,0.00019215,2.7895e-06,2.27568e-05,2.80513e-06,4.82818e-06,5.53855e-06,2.66151e-05,3.85468e-06,1.73628e-05,8.04784e-06,1.65256e-05,1.18152e-05,0.000148254,8.57542e-07,6.64036e-06
10.8296,0.1713,0.0556458,8.73862e-05,3.79872e-05,0.000294087,0.00139057,0.000271065,0.00134248,1.5196e-05,0.000191358,3.54819e-05,0.000296015,3.73079e-05,0.000217963,3.15189e-06,2.5833e-05,3.17561e-06,5.43615e-06,6.27092e-06,3.02016e-05,4.37375e-06,1.96877e-05,9.13146e-06,1.874e-05,1.33796e-05,0.000168457,9.75063e-07,7.56056e-06
12.1532,0.194609,0.0631438,9.86595e-05,4.28868e-05,0.000331634,0.00157539,0.000307614,0.00152308,1.71911e-05,0.000216767,4.02655e-05,0.000335383,4.22772e-05,0.00024708,3.55986e-06,2.93164e-05,3.59392e-06,6.12004e-06,7.0975e-06,3.42509e-05,4.9613e-06,2.23132e-05,1.03569e-05,2.12409e-05,1.51399e-05,0.000191303,1.10814e-06,8.6058e-06
13.6349,0.221081,0.0716028,0.000111331,4.83949e-05,0.0003736,0.00178326,0.000348942,0.00172681,1.94375e-05,0.000245354,4.5667e-05,0.000379632,4.78764e-05,0.00027984,4.01875e-06,3.32562e-05,4.06589e-06,6.88917e-06,8.02946e-06,3.88125e-05,5.62564e-06,2.52729e-05,1.17406e-05,2.40604e-05,1.71159e-05,0.000217075,1.25848e-06,9.79092e-06
15.2953,0.251179,0.0811333,0.000125577,5.45888e-05,0.000420442,0.00201666,0.000395655,0.00195634,2.1966e-05,0.000277468,5.17597e-05,0.000429273,5.41789e-05,0.000316634,4.53504e-06,3.77107e-05,4.59864e-06,7.75508e-06,9.08023e-06,4.39427e-05,6.37673e-06,2.86063e-05,1.33019e-05,2.7236e-05,1.93301e-05,0.000246093,1.42805e-06,1.11331e-05
17.1538,0.285352,0.0918246,0.000141557,6.15386e-05,0.000472514,0.00227756,0.000448285,0.00221385,2.48036e-05,0.00031339,5.86053e-05,0.000484689,6.12453e-05,0.000357758,5.11462e-06,4.27317e-05,5.19875e-06,8.72858e-06,1.02619e-05,4.9686e-05,7.22346e-06,3.23465e-05,1.50575e-05,3.07993e-05,2.17999e-05,0.000278604,1.61837e-06,1.2647e-05
19.2347,0.32415,0.103776,0.000159463,6.93297e-05,0.000530226,0.00256806,0.000507448,0.00250177,2.79821e-05,0.000353429,6.62726e-05,0.000546294,6.91447e-05,0.000403534,5.76467e-06,4.83792e-05,5.87416e-06,9.82304e-06,1.15888e-05,5.60908e-05,8.17628e-06,3.65311e-05,1.70265e-05,3.47859e-05,2.45443e-05,0.000314873,1.83111e-06,1.43483e-05
21.5643,0.368158,0.117068,0.000179491,7.8049e-05,0.000593931,0.00288988,0.000573721,0.00282213,3.15323e-05,0.00039784,7.48217e-05,0.000614394,7.79371e-05,0.000454203,6.49246e-06,5.47099e-05,6.633e-06,1.10525e-05,1.30753e-05,6.31956e-05,9.24526e-06,4.11935e-05,1.92261e-05,3.92274e-05,2.75783e-05,0.000355095,2.06753e-06,1.62506e-05
24.1744,0.41805,0.131777,0.000201865,8.77963e-05,0.00066399,0.00324452,0.000647702,0.00317682,3.5487e-05,0.00044686,8.43105e-05,0.000689244,8.76818e-05,0.000509972,7.30631e-06,6.17833e-05,7.4845e-06,1.24334e-05,1.47368e-05,7.10339e-05,1.04412e-05,4.63671e-05,2.1674e-05,4.41553e-05,3.09155e-05,0.000399426,2.32866e-06,1.83661e-05
