Energy (MeV/n),H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni
27.0974,0.474482,0.147931,0.000226785,9.86628e-05,0.000740608,0.0036324,0.000729821,0.00356668,3.98726e-05,0.000500584,9.47698e-05,0.00077085,9.84124e-05,0.00057086,8.21378e-06,6.96436e-05,8.43708e-06,1.39817e-05,1.65868e-05,7.96142e-05,1.17725e-05,5.20717e-05,2.43818e-05,4.95882e-05,3.45596e-05,0.000447861,2.61462e-06,2.06998e-05
30.3722,0.538182,0.165535,0.000254474,0.00011075,0.000823956,0.0040534,0.000820451,0.00399198,4.4715e-05,0.000559037,0.000106217,0.000859085,0.000110151,0.000636784,9.22321e-06,7.83299e-05,9.49987e-06,1.57155e-05,1.86389e-05,8.89311e-05,1.32472e-05,5.8322e-05,2.73587e-05,5.55391e-05,3.85094e-05,0.000500296,2.9249e-06,2.32523e-05
34.0407,0.609841,0.184536,0.000285131,0.00012415,0.000914036,0.00450606,0.000919729,0.00445162,5.00315e-05,0.00062207,0.000118634,0.000953529,0.000122888,0.000707439,1.03422e-05,8.78603e-05,1.06811e-05,1.76528e-05,2.09035e-05,9.89478e-05,1.48702e-05,6.51151e-05,3.06058e-05,6.20048e-05,4.27527e-05,0.000556429,3.25778e-06,2.60142e-05
38.1523,0.690156,0.204828,0.000318959,0.00013896,0.00101074,0.00498788,0.0010276,0.00494336,5.5834e-05,0.000689396,0.000131973,0.00105352,0.000136587,0.000782338,1.15784e-05,9.82352e-05,1.19886e-05,1.9813e-05,2.33895e-05,0.000109602,1.66438e-05,7.24348e-05,3.41178e-05,6.89687e-05,4.72678e-05,0.000615786,3.61053e-06,2.89674e-05
42.7625,0.779737,0.226241,0.000356133,0.000155265,0.00111379,0.00549484,0.00114371,0.00546334,6.21234e-05,0.000760523,0.000146141,0.00115809,0.000151172,0.000860747,1.29386e-05,0.000109426,1.34289e-05,2.22151e-05,2.61015e-05,0.000120794,1.85659e-05,8.02432e-05,3.78787e-05,7.63938e-05,5.20205e-05,0.000677673,3.97899e-06,3.20812e-05
47.9314,0.879009,0.248514,0.000396769,0.000173126,0.00122261,0.00602108,0.00126725,0.0060056,6.88833e-05,0.000834706,0.000160991,0.00126586,0.000166514,0.000941629,1.44272e-05,0.000121364,1.50057e-05,2.48759e-05,2.90371e-05,0.000132383,2.06276e-05,8.84744e-05,4.18587e-05,8.42161e-05,5.69601e-05,0.000741129,4.35741e-06,3.53106e-05
53.7315,0.988272,0.27133,0.000440966,0.0001926,0.00133652,0.00655956,0.00139712,0.00656286,7.60873e-05,0.000911034,0.000176335,0.00137522,0.000182451,0.00102376,1.60483e-05,0.00013395,1.67211e-05,2.78127e-05,3.21897e-05,0.000144198,2.28157e-05,9.70431e-05,4.60182e-05,9.23534e-05,6.20262e-05,0.00080503,4.73895e-06,3.85996e-05
60.2385,1.10741,0.294268,0.000488701,0.000213694,0.00145442,0.00710102,0.0015316,0.0071253,8.36816e-05,0.00098828,0.000191916,0.00148413,0.000198751,0.00110559,1.78012e-05,0.000147028,1.8572e-05,3.10362e-05,3.55413e-05,0.000156016,2.51069e-05,0.000105826,5.02985e-05,0.000100688,6.71386e-05,0.000867973,5.11503e-06,4.18759e-05
67.5509,1.23615,0.316883,0.000539949,0.000236414,0.00157518,0.00763577,0.00166876,0.00768248,9.16052e-05,0.00106515,0.000207454,0.00159047,0.000215163,0.00118549,1.96854e-05,0.000160421,2.05537e-05,3.45584e-05,3.90703e-05,0.000167606,2.74742e-05,0.00011469,5.46344e-05,0.000109091,7.22134e-05,0.00092851,5.47676e-06,4.50619e-05
75.7674,1.37355,0.338626,0.000594484,0.00026068,0.00169713,0.00815187,0.00180593,0.00822142,9.97599e-05,0.00114001,0.000222596,0.00169169,0.000231361,0.00126153,2.16926e-05,0.000173881,2.2653e-05,3.83788e-05,4.27386e-05,0.000178688,2.98779e-05,0.000123456,5.89389e-05,0.000117393,7.71457e-05,0.000984966,5.8138e-06,4.80662e-05
85.0071,1.5182,0.35893,0.000651983,0.000286375,0.00181843,0.00863698,0.00194017,0.00872861,0.00010803,0.00121115,0.000236969,0.00178523,0.000246993,0.00133175,2.38115e-05,0.000187131,2.48519e-05,4.24908e-05,4.64995e-05,0.000188973,3.22724e-05,0.000131933,6.31164e-05,0.000125413,8.18262e-05,0.00103568,6.11593e-06,5.07957e-05
95.4071,1.66812,0.377213,0.00071197,0.00031331,0.00193697,0.00907833,0.00206817,0.00919001,0.000116277,0.00127677,0.000250178,0.0018685,0.000261679,0.00139417,2.60245e-05,0.000199859,2.71255e-05,4.68768e-05,5.02947e-05,0.00019817,3.46047e-05,0.000139909,6.7062e-05,0.000132951,8.614e-05,0.00107905,6.37319e-06,5.31583e-05
107.142,1.82094,0.392918,0.000773871,0.00034126,0.0020505,0.00946368,0.00218656,0.00959214,0.000124348,0.00133512,0.000261838,0.00193907,0.00027504,0.00144696,2.83109e-05,0.000211746,2.94446e-05,5.15119e-05,5.40596e-05,0.000206002,3.68189e-05,0.000147175,7.06692e-05,0.000139809,8.99757e-05,0.00111361,6.57662e-06,5.50699e-05
120.354,1.9729,0.405454,0.000836611,0.000369772,0.00215605,0.00977964,0.00229131,0.00992039,0.000132034,0.00138423,0.000271527,0.00199437,0.000286634,0.00148818,3.06313e-05,0.000222404,3.1761e-05,5.63322e-05,5.77002e-05,0.000212179,3.88443e-05,0.00015348,7.38133e-05,0.000145755,9.32066e-05,0.00113798,6.71773e-06,5.6449e-05
135.291,2.12066,0.414386,0.000899287,0.000398471,0.00225112,0.0100162,0.00237918,0.0101639,0.000139158,0.0014226,0.000278919,0.00203255,0.000296114,0.00151647,3.29527e-05,0.000231517,3.4033e-05,6.12835e-05,6.11368e-05,0.000216492,4.06218e-05,0.000158629,7.63941e-05,0.000150605,9.57361e-05,0.00115122,6.79092e-06,5.72408e-05
152.161,2.25963,0.419307,0.00096044,0.000426726,0.00233259,0.0101635,0.00244661,0.0103121,0.00014549,0.00144869,0.000283697,0.00205192,0.000303108,0.00153056,3.52218e-05,0.00023874,3.61998e-05,6.62643e-05,6.42627e-05,0.000218744,4.20834e-05,0.000162409,7.83047e-05,0.000154163,9.74632e-05,0.00115264,6.7921e-06,5.74035e-05
171.375,2.38604,0.419947,0.00101889,0.000454038,0.00239793,0.0102146,0.00249096,0.0103578,0.000150849,0.00146138,0.000285636,0.00205133,0.000307343,0.00152963,3.73957e-05,0.000243811,3.82117e-05,7.11917e-05,6.69922e-05,0.000218808,4.31757e-05,0.000164662,7.94646e-05,0.000156283,9.83145e-05,0.00114188,6.71931e-06,5.69168e-05
193.014,2.49363,0.416163,0.00107214,0.000479284,0.00244349,0.0101645,0.00250938,0.0102965,0.000154954,0.00145972,0.000284568,0.00203026,0.000308538,0.00151336,3.93826e-05,0.000246432,3.99763e-05,7.58648e-05,6.91872e-05,0.000216625,4.38329e-05,0.000165225,7.97927e-05,0.000156818,9.82231e-05,0.00111921,6.57467e-06,5.57946e-05
217.868,2.5796,0.407862,0.00111914,0.000502013,0.00246729,0.01001,0.00250041,0.0101252,0.000157669,0.00144312,0.000280399,0.00198826,0.000306544,0.00148148,4.11447e-05,0.000246462,4.14523e-05,8.02001e-05,7.07814e-05,0.000212149,4.40214e-05,0.000164008,7.92447e-05,0.000155688,9.7148e-05,0.0010847,6.35884e-06,5.40444e-05
246.153,2.6384,0.395219,0.00115713,0.000520964,0.00246639,0.00975263,0.002463,0.00984681,0.000158761,0.00141156,0.000273175,0.0019262,0.000301275,0.0014347,4.25809e-05,0.000243765,4.2547e-05,8.39564e-05,7.16536e-05,0.00020548,4.3703e-05,0.000160962,7.77965e-05,0.00015285,9.50801e-05,0.00103947,6.07927e-06,5.17301e-05
278.111,2.66646,0.378696,0.00118383,0.000535056,0.00243941,0.00940072,0.0023981,0.00947123,0.000158105,0.00136597,0.00026315,0.00184619,0.000292868,0.00137466,4.36073e-05,0.000238401,4.31909e-05,8.69157e-05,7.173e-05,0.000196854,4.28755e-05,0.000156163,7.54866e-05,0.000148378,9.20747e-05,0.000985299,5.74724e-06,4.89512e-05
314.725,2.66189,0.358545,0.00119769,0.00054356,0.00238524,0.00895837,0.00230636,0.00900388,0.000155618,0.0013068,0.000250466,0.00174926,0.000281395,0.00130221,4.41671e-05,0.000230415,4.3339e-05,8.89262e-05,7.09632e-05,0.000186397,4.15392e-05,0.000149653,7.23383e-05,0.000142312,8.81558e-05,0.000923099,5.36869e-06,4.57632e-05
357.101,2.62267,0.335091,0.00119678,0.000545553,0.00230277,0.00843122,0.00218879,0.00845186,0.000151214,0.00123475,0.000235318,0.0016368,0.000266967,0.00121842,4.41897e-05,0.000219881,4.29379e-05,8.97979e-05,6.93016e-05,0.00017427,3.96997e-05,0.000141499,6.8388e-05,0.000134716,8.33607e-05,0.000853994,4.95083e-06,4.22325e-05
405.348,2.54944,0.309394,0.00117975,0.000540289,0.00219436,0.0078419,0.00205063,0.00783982,0.000145009,0.00115285,0.000218389,0.00151368,0.000250195,0.00112696,4.36236e-05,0.000207255,4.19682e-05,8.93588e-05,6.67779e-05,0.000161011,3.74344e-05,0.000132055,6.3811e-05,0.000125918,7.78873e-05,0.000781088,4.51271e-06,3.85251e-05
461.769,2.44161,0.281522,0.00114529,0.000527123,0.00205916,0.00719095,0.0018923,0.00716912,0.000136953,0.00106117,0.000199729,0.00138003,0.000231097,0.0010279,4.24205e-05,0.000192566,4.03982e-05,8.74803e-05,6.33642e-05,0.000146644,3.4748e-05,0.000121343,5.86212e-05,0.000115935,7.17348e-05,0.000704496,4.05525e-06,3.46529e-05
526.813,2.30342,0.252677,0.00109375,0.000506039,0.00190236,0.00650569,0.00172087,0.00646848,0.000127353,0.000963563,0.000180151,0.00124143,0.000210487,0.000925401,4.05895e-05,0.000176452,3.8269e-05,8.41345e-05,5.91857e-05,0.000131778,3.17604e-05,0.000109835,5.30504e-05,0.0001052,6.5159e-05,0.000627392,3.59755e-06,3.07804e-05
602.462,2.13838,0.223433,0.00102579,0.000477224,0.0017274,0.00579968,0.00154034,0.00575193,0.000116427,0.000862016,0.000160065,0.0011005,0.000188809,0.000821349,3.81522e-05,0.000159281,3.56213e-05,7.93524e-05,5.43372e-05,0.0001167,2.8546e-05,9.77951e-05,4.72287e-05,9.39541e-05,5.82935e-05,0.000551081,3.14732e-06,2.69744e-05
691.328,1.9506,0.194332,0.000942699,0.00044115,0.00153836,0.00508616,0.00135473,0.00503284,0.000104433,0.000758505,0.000139867,0.00095977,0.00016651,0.000717556,3.51525e-05,0.000141422,3.25137e-05,7.32279e-05,4.89347e-05,0.000101681,2.51826e-05,8.5491e-05,4.12862e-05,8.24386e-05,5.12735e-05,0.00047672,2.71131e-06,2.32917e-05
795.686,1.74711,0.166189,0.000847592,0.000399109,0.0013421,0.00438574,0.00117008,0.00433153,9.18104e-05,0.000656111,0.000120148,0.000823119,0.000144285,0.00061682,3.16999e-05,0.000123444,2.90633e-05,6.60103e-05,4.31803e-05,8.71333e-05,2.17884e-05,7.33245e-05,3.54168e-05,7.10208e-05,4.43118e-05,0.000406094,2.29978e-06,1.98179e-05
919.187,1.53414,0.139518,0.000743854,0.00035257,0.00114456,0.0037124,0.000990756,0.0036613,7.89459e-05,0.000557001,0.000101299,0.000693064,0.000122642,0.000520923,2.79149e-05,0.000105768,2.5387e-05,5.79907e-05,3.72567e-05,7.33209e-05,1.84549e-05,6.1587e-05,2.97596e-05,5.99665e-05,3.75612e-05,0.000340176,1.91806e-06,1.65959e-05
1067.89,1.3165,0.114574,0.00063461,0.000302916,0.000950247,0.00307389,0.000819461,0.00302901,6.61376e-05,0.000462438,8.35323e-05,0.000570882,0.000101889,0.00043073,2.39089e-05,8.8658e-05,2.15856e-05,4.94503e-05,3.13089e-05,6.03723e-05,1.52435e-05,5.04589e-05,2.43997e-05,4.9439e-05,3.11143e-05,0.000279281,1.56765e-06,1.36356e-05
1245.75,1.10418,0.0921154,0.00052601,0.000252955,0.00076807,0.00249137,0.000662447,0.00245461,5.39819e-05,0.000375697,6.74203e-05,0.000460378,8.27807e-05,0.000348987,1.99054e-05,7.27449e-05,1.78582e-05,4.09115e-05,2.56236e-05,4.86824e-05,1.22833e-05,4.0348e-05,1.95311e-05,3.98203e-05,2.5201e-05,0.000224962,1.25702e-06,1.1006e-05
1453.24,0.909113,0.0729088,0.000425448,0.000206169,0.00060756,0.00198704,0.000526205,0.00195886,4.31384e-05,0.000300245,5.35522e-05,0.000365462,6.61152e-05,0.000278554,1.61778e-05,5.8719e-05,1.44399e-05,3.29935e-05,2.05215e-05,3.8655e-05,9.70785e-06,3.16636e-05,1.53486e-05,3.15038e-05,2.00632e-05,0.000178785,9.94551e-07,8.77641e-06
1709.64,0.726247,0.0560412,0.000331461,0.000161964,0.000463808,0.00153902,0.000405185,0.00151932,3.33009e-05,0.000232947,4.13019e-05,0.000281757,5.12273e-05,0.000216173,1.26733e-05,4.60446e-05,1.12646e-05,2.56067e-05,1.58697e-05,2.98194e-05,7.42072e-06,2.40404e-05,1.16746e-05,2.41464e-05,1.54912e-05,0.000138339,7.66017e-07,6.82493e-06
2016.45,0.566718,0.0421843,0.000250589,0.000123511,0.00034457,0.00116698,0.000304928,0.00115459,2.50294e-05,0.000176871,3.11848e-05,0.000212717,3.88156e-05,0.000164436,9.63837e-06,3.53434e-05,8.54029e-06,1.92774e-05,1.19423e-05,2.25341e-05,5.53209e-06,1.78118e-05,8.66887e-06,1.80797e-05,1.16952e-05,0.000105085,5.79217e-07,5.21837e-06
2396.92,0.428143,0.0307915,0.000182028,9.0557e-05,0.00024657,0.00085802,0.000222058,0.000851536,1.81337e-05,0.000130175,2.28273e-05,0.00015574,2.84854e-05,0.000121446,7.04765e-06,2.63119e-05,6.23069e-06,1.39429e-05,8.65765e-06,1.65202e-05,3.98077e-06,1.27442e-05,6.2189e-06,1.30917e-05,8.54943e-06,7.76247e-05,4.25843e-07,3.88699e-06
2863.22,0.3142,0.0218863,0.000127579,6.4094e-05,0.000170731,0.00061424,0.000157131,0.000611977,1.27174e-05,9.32491e-05,1.62668e-05,0.000111043,2.03296e-05,8.74447e-05,4.97476e-06,1.90713e-05,4.39166e-06,9.73484e-06,6.07171e-06,1.17985e-05,2.7767e-06,8.84473e-06,4.32904e-06,9.20724e-06,6.07721e-06,5.59875e-05,3.05671e-07,2.83168e-06
3444.24,0.222979,0.0150782,8.58808e-05,4.35971e-05,0.000113858,0.000426219,0.000107529,0.000426648,8.59304e-06,6.47241e-05,1.12324e-05,7.67532e-05,1.40461e-05,6.11099e-05,3.37458e-06,1.33989e-05,2.97644e-06,6.53409e-06,4.09975e-06,8.17138e-06,1.86824e-06,5.92491e-06,2.90978e-06,6.25926e-06,4.18157e-06,3.92522e-05,2.13239e-07,2.00864e-06
4156.09,0.154081,0.0101458,5.60098e-05,2.87427e-05,7.37781e-05,0.000288854,7.17208e-05,0.000290685,5.6411e-06,4.38625e-05,7.57306e-06,5.18251e-05,9.46773e-06,4.17569e-05,2.2186e-06,9.19117e-06,1.95588e-06,4.25528e-06,2.68761e-06,5.52969e-06,1.22249e-06,3.86311e-06,1.90412e-06,4.14637e-06,2.80707e-06,2.69429e-05,1.45626e-07,1.39685e-06
5040.33,0.103314,0.00664324,3.52776e-05,1.831e-05,4.62927e-05,0.000190525,4.6454e-05,0.000192862,3.58548e-06,2.89212e-05,4.96719e-06,3.40619e-05,6.20401e-06,2.78006e-05,1.40922e-06,6.13453e-06,1.24191e-06,2.6812e-06,1.70462e-06,3.64313e-06,7.75053e-07,2.44234e-06,1.20849e-06,2.66669e-06,1.83203e-06,1.80405e-05,9.69953e-08,9.48826e-07
6133.93,0.0674712,0.0042495,2.15681e-05,1.13268e-05,2.82656e-05,0.000122795,2.93394e-05,0.000125084,2.2168e-06,1.86285e-05,3.18202e-06,2.18781e-05,3.96835e-06,1.81026e-05,8.6912e-07,3.99908e-06,7.65619e-07,1.64332e-06,1.05094e-06,2.34591e-06,4.78203e-07,1.50393e-06,7.47142e-07,1.67221e-06,1.16732e-06,1.18259e-05,6.32355e-08,6.31601e-07
7488.09,0.0429916,0.00266013,1.28342e-05,6.82241e-06,1.68353e-05,7.74705e-05,1.81027e-05,7.94354e-05,1.33631e-06,1.17426e-05,1.99435e-06,1.3757e-05,2.48241e-06,1.15482e-05,5.21828e-07,2.55069e-06,4.59381e-07,9.82526e-07,6.31305e-07,1.47893e-06,2.87731e-07,9.03854e-07,4.50863e-07,1.02441e-06,7.27557e-07,7.60058e-06,4.04109e-08,4.12537e-07
9166.97,0.0267783,0.00163249,7.45327e-06,4.01182e-06,9.80536e-06,4.79313e-05,1.09332e-05,4.9481e-05,7.87257e-07,7.25759e-06,1.22515e-06,8.48398e-06,1.5216e-06,7.22959e-06,3.05825e-07,1.59462e-06,2.68945e-07,5.74628e-07,3.70385e-07,9.14432e-07,1.69196e-07,5.31298e-07,2.66114e-07,6.14334e-07,4.4444e-07,4.79681e-06,2.53531e-08,2.64753e-07
11264.9,0.0162881,0.000980918,4.22074e-06,2.30136e-06,5.57869e-06,2.90482e-05,6.45564e-06,3.01959e-05,4.52807e-07,4.393e-06,7.36768e-07,5.12519e-06,9.12844e-07,4.43629e-06,1.74812e-07,9.76052e-07,1.53495e-07,3.28479e-07,2.12026e-07,5.53842e-07,9.71208e-08,3.05084e-07,1.5344e-07,3.60216e-07,2.65788e-07,2.96887e-06,1.55947e-08,1.66719e-07
13861.3,0.00974638,0.000581322,2.35094e-06,1.29879e-06,3.12643e-06,1.73687e-05,3.7553e-06,1.8181e-05,2.56368e-07,2.62314e-06,4.3692e-07,3.05489e-06,5.39981e-07,2.68699e-06,9.82904e-08,5.89105e-07,8.61275e-08,1.8508e-07,1.19415e-07,3.30954e-07,5.4863e-08,1.72522e-07,8.7122e-08,2.08121e-07,1.56772e-07,1.81427e-06,9.46898e-09,1.03681e-07
17094.4,0.00573334,0.00033945,1.28704e-06,7.20624e-07,1.72429e-06,1.02366e-05,2.15011e-06,1.07904e-05,1.4276e-07,1.54374e-06,2.55262e-07,1.79487e-06,3.14667e-07,1.60486e-06,5.43239e-08,3.50305e-07,4.74781e-08,1.02702e-07,6.61168e-08,1.94929e-07,3.04718e-08,9.59818e-08,4.86649e-08,1.18373e-07,9.11183e-08,1.09358e-06,5.66981e-09,6.3614e-08
21122.1,0.00332297,0.00019569,6.94256e-07,3.94056e-07,9.38027e-07,5.9585e-06,1.21426e-06,6.32472e-06,7.83698e-08,8.97173e-07,1.47215e-07,1.04152e-06,1.81009e-07,9.47002e-07,2.95856e-08,2.05636e-07,2.57766e-08,5.62559e-08,3.60732e-08,1.13385e-07,1.66788e-08,5.26529e-08,2.68019e-08,6.64204e-08,5.22913e-08,6.51367e-07,3.35401e-09,3.85735e-08
26152.0,0.0018995,0.000111462,3.69382e-07,2.12586e-07,5.03781e-07,3.42793e-06,6.76974e-07,3.66399e-06,4.24524e-08,5.15299e-07,8.3876e-08,5.97342e-07,1.02867e-07,5.52478e-07,1.58939e-08,1.19261e-07,1.37975e-08,3.04435e-08,1.94136e-08,6.51808e-08,9.00501e-09,2.85052e-08,1.45666e-08,3.67982e-08,2.96534e-08,3.83632e-07,1.96148e-09,2.31308e-08
32436.1,0.00107301,6.28361e-05,1.94255e-07,1.1338e-07,2.67631e-07,1.9525e-06,3.73299e-07,2.10144e-06,2.27371e-08,2.93007e-07,4.72946e-08,3.39188e-07,5.78564e-08,3.19193e-07,8.44006e-09,6.84561e-08,7.29699e-09,1.63073e-08,1.03268e-08,3.70954e-08,4.80543e-09,1.52594e-08,7.82782e-09,2.01671e-08,1.66459e-08,2.2378e-07,1.13591e-09,1.37386e-08
40232.5,0.000602383,3.52509e-05,1.01597e-07,6.01422e-08,1.41477e-07,1.10692e-06,2.04754e-07,1.19954e-06,1.21124e-08,1.65824e-07,2.65357e-08,1.91705e-07,3.23815e-08,1.83573e-07,4.45723e-09,3.90969e-08,3.83642e-09,8.69674e-09,5.46251e-09,2.10118e-08,2.54987e-09,8.12529e-09,4.18384e-09,1.09957e-08,9.3002e-09,1.29943e-07,6.54752e-10,8.12241e-09
50000.0,0.000334712,1.95951e-05,5.25932e-08,3.15825e-08,7.40651e-08,6.21983e-07,1.11219e-07,6.78636e-07,6.38819e-09,9.30098e-08,1.47516e-08,1.07388e-07,1.79575e-08,1.04663e-07,2.33001e-09,2.21261e-08,1.99583e-09,4.59573e-09,2.85996e-09,1.17955e-08,1.33914e-09,4.28352e-09,2.21388e-09,5.93778e-09,5.14925e-09,7.48075e-08,3.74114e-10,4.7613e-09
